item;sectie;hoofdstuk;woord;synoniem;betekenis;voorbeeld;link
header;;;titel;;De Derde Chimpansee;;
header;;;subtitel;;Evolutie en toekomst van het dier dat mens heet;;
header;;;categorie;;antropologie;;
header;;;auteur;;Jared Diamond;;
header;;;uitgeverij;;Het Spectrum;;
header;;;jaar;;2001;;
header;;;paginas;;440;;
header;;;ISBN;;90 274 6265 8;;
header;;;boeklink;;;;
header;;;referentie;;Diamond,J. De Derde Chimpansee. Evolutie en toekomst van het dier dat mens heet. Uitg. Het Spectrum, 2001, 440 pp. - ISBN 90 274 6265 8;;
header;;;beschrijving;;"Meer dan 98 procent van onze genen hebben wij gemeen met de gewone en de dwergchimpansee. Hoe is het dan te verklaren dat wij in staat zijn om beschavingen, talen, godsdiensten en wetenschappen te ontwikkelen - maar ook om dat in een oogwenk te vernietigen? Jared Diamond schreef een baanbrekend, onderhoudend en soms schokkend boek over dat unieke schepsel en zijn evolutie: de derde chimpansee die mens heet.

Recensie(s)
Diamond (ook de befaamde auteur van 'Zwaarden, paarden en ziektekiemen', 2000*) behandelt in dit oudere boek bepaalde aspecten van de evolutie van de mens. Daarbij komen vooral elementen van gedrag en cultuur aan de orde, zoals seksualiteit, taal, kunst, oorlogsvoering etc. De ontwikkelingen bij de mens worden vergeleken met die bij (mens)apen. Het boek geeft zeer veel discussiestof over onderwerpen die veel lezers zullen boeien. Het is jammer dat het een vertaling betreft van de oorspronkelijke Engelse uitgave die uit 1992 stamt, zodat enkele nieuwe ontwikkelingen niet zijn vermeld. Het boek is voorzien van een lijst van aanbevolen literatuur en een register. Een boeiend en wetenschappelijk verantwoord werk. De onderwerpen worden op duidelijke wijze behandeld, wat het boek toegankelijk maakt voor een groot lezerspubliek.";;
header;;;eBoek;;0;;
